Authors,Author(s) ID,Title,Year,Source_Title,Volume,Issue,Art. No.,Page start,Page end,Page count,Citation,DOI,Link,Abstract,Author Keywords,Document_Type,Publication_Stage,Open Access,Source,EID
"Revathi A.N., Mohanaselvi S.",57347456100;55862170400;,Uncertain Multi Level Four Dimensional Multi Item Fractional Transportation Problem,2021,International Journal of Intelligent Engineering and Systems,14,6,,629,641,,,10.22266/ijies2021.1231.56,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85119487896&doi=10.22266%2fijies2021.1231.56&partnerID=40&md5=b7f23954f6b910dc7cae95a01ccb3e62,"This work will be illustrating a model for dealing with multi level four dimensional fractional multi item transportation problem whose parameters in both objectives and constraints are considered as uncertain variables. The Fractional programming technique is useful in dealing with real life situations where the decision maker has to maximize or minimize the ratios of two objective functions. In any hierarchical system or decentralized system, multi level programming problem can be used to obtain efficient solution based on the preferences of each decision maker at each level. The usage of fractional method and level wise preference in real life problems helps us to obtain the efficiency of system and also enables hierarchical decision making which is common in day to day transportation firms. An equivalent deterministic model has been obtained for the multi level four dimensional fractional multi item transportation problem under uncertain environment by using expected and chance constrain model of uncertainty theory. Then the deterministic model is solved by using the modified fuzzy goal programming technique to obtain the compromise solution of the proposed model. The validity of the proposed model has been explained using the numerical example © 2021, International Journal of Intelligent Engineering and Systems. All Rights Reserved",Compromise optimal solution; Fractional programming; Fuzzy goal programming; Multi level transportation; Uncertain variable,Article,Final,"All Open Access, Bronze",Scopus,2-s2.0-85119487896
"Ho M.-T., Mantello P., Nguyen H.-K.T., Vuong Q.-H.",57222388256;55538758500;57226656646;45161334600;,Affective computing scholarship and the rise of China: a view from 25 years of bibliometric data,2021,Humanities and Social Sciences Communications,8,1,282,,,,,10.1057/s41599-021-00959-8,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85119292254&doi=10.1057%2fs41599-021-00959-8&partnerID=40&md5=d7313523de175bd739c6aadc05b1559a,"Affective computing, also known as emotional artificial intelligence (AI), is an emerging and cutting-edge field of AI research. It draws on computer science, engineering, psychology, physiology, and neuroscience to computationally model, track, and classify human emotions and affective states. While the US once dominated the field in terms of research and citation from 1995–2015, China is now emerging as a global contender in research output, claiming second place for the most cited country from 2016–2020. This article maps the rhizomatic growth and development of scientific publications devoted to emotion-sensing AI technologies. It employs a bibliometric analysis that identifies major national contributors and international alliances in the field over the past 25 years. Contrary to the ongoing political rhetoric of a new Cold War, we argue that there are in fact vibrant AI research alliances and ongoing collaborations between the West and China, especially with the US, despite competing interests and ethical concerns. Our observations of historical data indicate two major collaborative networks: the “US/Asia-Pacific cluster” consisting of the US, China, Singapore, Japan and the “European” cluster of Germany, the UK, and the Netherlands. Our analysis also uncovers a major shift in the focus of affective computing research away from diagnosis and detection of mental illnesses to more commercially viable applications in smart city design. The discussion notes the state-of-the-art techniques such as the ensemble method of symbolic and sub-symbolic AI as well as the absence of Russia in the list of top countries for scientific output. © 2021, The Author(s).",,Article,Final,"All Open Access, Gold",Scopus,2-s2.0-85119292254
"Hadid N.B., Goyet C., Chaar H., Maiz N.B., Guglielmi V., Shili A.",57339465200;6603937787;6508109060;20435965000;36881606100;20436468300;,Machine Learning Modeling Techniques for Forecasting the Trophic Level in a Restored South Mediterranean Lagoon Using Chlorophyll-a,2021,Wetlands,41,8,111,,,,,10.1007/s13157-021-01479-6,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85119118200&doi=10.1007%2fs13157-021-01479-6&partnerID=40&md5=4db40b74bbddea7bfa01d1b97c4c0e10,"An Artificial Neural Network (ANN), a Machine Learning (ML) modeling approach is proposed to predict the ecological state of the North Lagoon of Tunis, a shallow restored Mediterranean coastal ecosystem. A Nonlinear Auto Regressive with exogenous input (NARX) neural network model was fitted to predict Chlorophyll-a (Chl-a) concentrations in the North Lagoon of Tunis as an eutrophication indicator. The modeling is based on approximately three decades of monitoring water quality data (from January 1989 to April 2018) to train, validate and test the NARX model. The most relevant predictor variables used in this model were those having a high permutation importance ranking with Random Forest (RF) model, which simplified the structure of the network, resulting in a more accurate and efficient procedure. Those predictor variables are secchi depth, and dissolved oxygen. Various model scenarios with different NARX architectures were tested for Chl-a prediction. To verify the model performances, the trained models were applied to field monitoring data. Results indicated that the developed NARX model can predict Chl-a concentrations in the North Lagoon of Tunis with high accuracy (R = 0.79; MSE = 0.31). In addition, results showed that the NARX model generally performed better than multivariate linear regression (MVLR). This approach could provide a quick assessment of Chl-a variations for lagoon management and eco-restoration. © 2021, Society of Wetland Scientists.",Eutrophication; Forecasting; Machine Learning; NARX; North Lagoon of Tunis; Random Forest,Article,Final,"All Open Access, Green",Scopus,2-s2.0-85119118200
"Sekli G.F.M., De La Vega I.",57337867800;23110059900;,Adoption of big data analytics and its impact on organizational performance in higher education mediated by knowledge management,2021,"Journal of Open Innovation: Technology, Market, and Complexity",7,4,221,,,,,10.3390/joitmc7040221,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85119070094&doi=10.3390%2fjoitmc7040221&partnerID=40&md5=9e881f96d5f5b789c95a0416fe6b08da,"Due to SARS-CoV-2 pandemic, higher education institutions are challenged to continue providing quality teaching, consulting, and research production through virtual education environ-ments. In this context, a large volume of data is being generated, and technologies such as big data analytics are needed to create opportunities for open innovation by obtaining valuable knowledge. The purpose of this paper is to investigate the factors that influence the adoption of big data analytics and evaluate the relationship it has with performance and knowledge management, taking into consideration that this technology is in its initial stages and that previous research has provided varied results depending on the sector in focus. To address these challenges, a theoretical framework is developed to empirically test the relationship of these variables; 265 members of universities in Latin America were surveyed, and structural equation modeling is used. The findings identify compatibility, an adequate organizational data environment, and external support as factors required to adopt big data analytics, and their positive relationship is tested with knowledge management processes and organizational performance. This study provides practical guidance for decision-makers involved in or in charge of defining the implementation strategy of big data analytics in higher education institutions. © 2021 by the authors. Licensee MDPI, Basel, Switzerland.",Big data analytics; Dynamics capabilities; Higher education institutions; Knowledge management processes; Organizational performance,Article,Final,"All Open Access, Gold",Scopus,2-s2.0-85119070094
"Narbaev T., Amirbekova D.",55980874500;57189728850;,Research productivity in emerging economies: Empirical evidence from kazakhstan,2021,Publications,9,4,51,,,,,10.3390/publications9040051,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85118989364&doi=10.3390%2fpublications9040051&partnerID=40&md5=8b32d2853526802248cd424663eb7c6d,"The growth of the Higher Education and Science (HES) sector is positively associated with its research productivity and has a high potential in emerging countries. To explore such research productivity, this study offers a comprehensive analysis of the scientific literature from Kazakhstan. Our methods included descriptive analysis, network analysis, and author-based productivity analysis (by Lotka’s law) of 23,371 articles from Scopus, published during 1991–2020, and across 25 subject areas. The results of the descriptive analysis showed a substantial increase in the number of and citations to the literature since 2011 in almost all subject areas. However, the network analysis found that research in natural sciences was more developed in topical relationships and international collaborations than research in arts and humanities, social, and medical sciences. The Lotka’s law application revealed that the overall scientific literature in Kazakhstan did not reach its necessary stage of maturity. Additionally, some subject areas demonstrated greater contribution to the overall knowledge base, while others were less productive or lagging in their development. Our findings, useful for researchers and policymakers in emerging countries, can be exemplary in understanding the results of policy reforms aimed to improve the HES sector in emerging countries. © 2021 by the authors. Licensee MDPI, Basel, Switzerland.",Citation analysis; Emerging country; Kazakhstan; Lotka’s law; Network analysis; Publication trend; Research productivity; Scientometrics,Article,Final,"All Open Access, Gold, Green",Scopus,2-s2.0-85118989364
"Rosário A., Raimundo R.",57222987322;57222981400;,Consumer marketing strategy and e-commerce in the last decade: A literature review,2021,Journal of Theoretical and Applied Electronic Commerce Research,16,7,,3003,3024,,,10.3390/jtaer16070164,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85118871085&doi=10.3390%2fjtaer16070164&partnerID=40&md5=7478e57a2389e38784134132f3cfd412,"E-commerce is deemed as the sale and purchase of goods and services through the internet in exchange for money and data transfer to complete the transactions. E-commerce is at the forefront of transforming marketing strategies, based on new technologies, and facilitates product information and improved decision-making. In this way, marketing strategy increasingly require large amounts of information to better understand client needs, which raises the question of choosing the right marketing strategy to better fit consumer expectations. This literature review aims to shed light on both the recent growth of e-commerce literature and its interplay with consumer marketing strategy. Extant research has examined this change in human interaction due to social network building, mostly through the themes of online marketing and social media marketing, also comprehending issues such as cost efficiency, information quality and trust development towards online shopping. Nevertheless, existing research has not shown in full all the research streams, how they interact with each other and its potential knowledge development. Thus, a literature review on consumer marketing strategy for e-commerce in the last decade is opportune. This paper aims to identify research trends in the field through a Systematic Bibliometric Literature Review (LRSB) of research on marketing strategy for e-commerce. The review includes 66 articles published in the Scopus® database, presenting up-to-date knowledge on the topic. The LRSB results were synthesized across current research subthemes. The following findings are presented: Amidst the current competitive global business environment, companies tend to respond with strategies for e-commerce and online businesses that resort to e-commerce platforms and social networking to better understand consumer needs, facilitate consumer marketing strategy and share innovative information. The originality of the paper relies on its LRSB method, together with extant review of articles that have not been categorized so far. © 2021 by the authors. Licensee MDPI, Basel, Switzerland.",Consumer; Marketing strategy; Social media,Review,Final,"All Open Access, Gold",Scopus,2-s2.0-85118871085
"Pande C.B., Moharir K.N., Panneerselvam B., Singh S.K., Elbeltagi A., Pham Q.B., Varade A.M., Rajesh J.",57193547008;57193546415;57038639300;57198063860;57204724397;57208495034;24173661000;57223631001;,"Delineation of groundwater potential zones for sustainable development and planning using analytical hierarchy process (AHP), and MIF techniques",2021,Applied Water Science,11,12,186,,,,,10.1007/s13201-021-01522-1,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85118755975&doi=10.1007%2fs13201-021-01522-1&partnerID=40&md5=e50f37e10b85a07248010f167538c990,"Groundwater plays a vital role in the sustainable development of agriculture, society and economy, and it's demand is increasing due to low rainfall, especially in arid and semiarid regions. In this context, delineation of groundwater potential zones is essential for meeting the demand of different sectors. In this research, the integrated approach consisting of analytical hierarchy process (AHP), multiple influence factors (MIF) and receiver operating characteristics (ROC) was applied. The demarcation of groundwater potential zones is based on thematic maps, namely Land Use/Land Cover (LULC), Digital Elevation Model (DEM), hillshade, soil texture, slope, groundwater depth, geomorphology, Normalized Difference Vegetation Index (NDVI), and flow direction and accumulation. The pairwise comparison matrix has been created, and weights are assigned to each thematic layer. The comparative score to every factor was calculated from the overall weight of two major and minor influences. Groundwater potential zones were classified into five classes, namely very poor, poor, moderate, good and very good, which cover an area as follows: 3.33 km2, 785.84 km2, 1147.47 km2, 595.82 km2 and 302.65 km2, respectively, based on AHP method. However, the MIF groundwater potential zones map was classified into five classes: very poor, poor, moderate, good and very good areas covered 3.049 km2, 567.42 km2, 1124.50 km2 868.86 km2 and 266.67 km2, respectively. The results of MIF and AHP techniques were validated using receiver operating characteristics (ROC). The result of this research would be helpful to prepare the sustainable groundwater planning map and policy. The proposed framework has admitted to test and could be implemented in different in various regions around the world to maintain the sustainable practices. © 2021, The Author(s).",AHP; GIS; MIF; Remote sensing; Thematic maps,Article,Final,"All Open Access, Gold",Scopus,2-s2.0-85118755975
"Shah S.K., Tang Z., Sharif S.M.F., Tanveer A.",57222865678;9334897000;57217827641;57235207900;,An empirical study of Chinese students' behavioral intentions to adopt 5G for smart-learning in Covid-19,2021,Smart Learning Environments,8,1,25,,,,,10.1186/s40561-021-00172-9,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85118232831&doi=10.1186%2fs40561-021-00172-9&partnerID=40&md5=c9711d469dfc74eef6c8d64c285d8048,"The social distancing due to the Covid-19 epidemic has disturbed all sectors of society, including education. To maintain normal operations, it is necessary to adapt quickly to this situation. Many technologies and platforms have rushed to offer their support to users. This article adopts a critical perspective to reflect on the factors that may cause the hasty adoption of 5G smart learning technology. To investigate students' intentions toward smart learning, this article provides a theoretical framework premised on the technology acceptance model (TAM) by adding components from the social practise theory (SPT). Based on data analysis through Structural equation Modeling (SEM) of a survey (n = 375) conducted in China, we found that the choice of 5G smart-learning technology depends on the combined effect of Material (MAA), Meanings (MEA), and Competency access (COA) factors. The results illustrate that these are the effective factors for student’s intentions to adopt 5G smart-learning technology. These outcomes are intended to aid service providers and decision-makers in developing effective ways to increase smart learning use. These findings can also enable us to identify challenges affecting smart learning adoption and to contribute to the design and proper supply of smart learning programs in other countries. © 2021, The Author(s).",Consumer adoption intentions; Covid-19 pandemic; Smart-learning; Social Practice Theory (SPT); Technology acceptance model (TAM),Article,Final,"All Open Access, Gold",Scopus,2-s2.0-85118232831
"Peri? M., Vitezi? V.",56088716600;56468014000;,Tourism getting back to life after COVID-19: Can artificial intelligence help?,2021,Societies,11,4,115,,,,,10.3390/soc11040115,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85117818232&doi=10.3390%2fsoc11040115&partnerID=40&md5=c81e7525bca5647ce3ca0e9259eebe8c,"Measures aimed at keeping physical and social distance during the COVID-19 pandemic have started to be a big challenge for service industries all over the world. The utilization of new technologies such as artificial intelligence (AI robots) in hospitality and tourism can be imposed as a potential safety-related problem solver. This study explores consumers’ intentions to use hospitality services once all restrictions related to COVID-19 have been relaxed as well as their perception of how important they find some of the safety-related protective measures when visiting accommodation facilities. Respondents find that more rigorous cleaning techniques, additional disinfection, and hand sanitizer stations are the most important safety-related protective measures when staying at the accommodation facility. Although the respondents do not perceive AI robots as an important protective measure or beneficial in delivering a catering service, the results indicate some significant differences between more and less risk-averse travelers suggesting some potential strategic pathways during the crisis but also in the post-coronavirus future. © 2021 by the authors. Licensee MDPI, Basel, Switzerland.",Artificial intelligence; COVID-19; Protective measures; Robots; Tourism,Article,Final,"All Open Access, Gold",Scopus,2-s2.0-85117818232
"Diallo M.S., Mokeddem S.A., Braud A., Frey G., Lachiche N.",55401215400;57295341800;24476512100;7101773551;6508076496;,Identifying benchmarks for failure prediction in industry 4.0,2021,Informatics,8,4,68,,,,,10.3390/informatics8040068,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85117002529&doi=10.3390%2finformatics8040068&partnerID=40&md5=90cf835e8fc9c86c540b53a87c0be2ac,"Industry 4.0 is characterized by the availability of sensors to operate the so-called intelligent factory. Predictive maintenance, in particular, failure prediction, is an important issue to cut the costs associated with production breaks. We studied more than 40 publications on predictive maintenance. We point out that they focus on various machine learning algorithms rather than on the selection of suitable datasets. In fact, most publications consider a single, usually non-public, benchmark. More benchmarks are needed to design and test the generality of the proposed approaches. This paper is the first to define the requirements on these benchmarks. It highlights that there are only two benchmarks that can be used for supervised learning among the six publicly available ones we found in the literature. We also illustrate how such a benchmark can be used with deep learning to successfully train and evaluate a failure prediction model. We raise several perspectives for research. © 2021 by the authors. Licensee MDPI, Basel, Switzerland.",Data collection; Data mining; Evaluation methodology; Failure prediction; Industry 4.0; LSTM; Predictive maintenance,Article,Final,"All Open Access, Gold, Green",Scopus,2-s2.0-85117002529
