ParticleSize,ImpingementAngle,ImpactVelocity,Materials,Erosion
500-600 ,15,50,Copper,0.14214
500-600 ,30,50,Copper,0.1338
500-600 ,45,50,Copper,0.12304
500-600 ,60,50,Copper,0.13288
500-600 ,75,50,Copper,0.12041
500-600 ,90,50,Copper,0.12089
500-600 ,15,45,Copper,0.12935
500-600 ,30,45,Copper,0.12301
500-600 ,45,45,Copper,0.11025
500-600 ,60,45,Copper,0.12209
500-600 ,75,45,Copper,0.10982
500-600 ,90,45,Copper,0.1071
500-600 ,15,40,Copper,0.11656
500-600 ,30,40,Copper,0.10836
500-600 ,45,40,Copper,0.10089
500-600 ,60,40,Copper,0.10896
500-600 ,75,40,Copper,0.09984
500-600 ,90,40,Copper,0.09961
500-600 ,15,35,Copper,0.10847
500-600 ,30,35,Copper,0.09827
500-600 ,45,35,Copper,0.0888
500-600 ,60,35,Copper,0.09687
500-600 ,75,35,Copper,0.08575
500-600 ,90,35,Copper,0.08252
500-600 ,15,30,Copper,0.09238
500-600 ,30,30,Copper,0.08697
500-600 ,45,30,Copper,0.0802
500-600 ,60,30,Copper,0.08504
500-600 ,75,30,Copper,0.07808
500-600 ,90,30,Copper,0.07614
500-600 ,15,50,GunMetal,0.15794
500-600 ,30,50,GunMetal,0.15602
500-600 ,45,50,GunMetal,0.14119
500-600 ,60,50,GunMetal,0.14569
500-600 ,75,50,GunMetal,0.13715
500-600 ,90,50,GunMetal,0.13012
500-600 ,15,45,GunMetal,0.1453
500-600 ,30,45,GunMetal,0.14338
500-600 ,45,45,GunMetal,0.12855
500-600 ,60,45,GunMetal,0.13305
500-600 ,75,45,GunMetal,0.12451
500-600 ,90,45,GunMetal,0.11748
500-600 ,15,40,GunMetal,0.13267
500-600 ,30,40,GunMetal,0.1295
500-600 ,45,40,GunMetal,0.11859
500-600 ,60,40,GunMetal,0.1213
500-600 ,75,40,GunMetal,0.11515
500-600 ,90,40,GunMetal,0.10199
500-600 ,15,35,GunMetal,0.11925
500-600 ,30,35,GunMetal,0.11808
500-600 ,45,35,GunMetal,0.10517
500-600 ,60,35,GunMetal,0.10788
500-600 ,75,35,GunMetal,0.10173
500-600 ,90,35,GunMetal,0.08857
500-600 ,15,30,GunMetal,0.10583
500-600 ,30,30,GunMetal,0.10454
500-600 ,45,30,GunMetal,0.09376
500-600 ,60,30,GunMetal,0.09072
500-600 ,75,30,GunMetal,0.09106
500-600 ,90,30,GunMetal,0.08511
500-600 ,15,50,Aluminum,0.11624
500-600 ,30,50,Aluminum,0.11143
500-600 ,45,50,Aluminum,0.08996
500-600 ,60,50,Aluminum,0.09006
500-600 ,75,50,Aluminum,0.09861
500-600 ,90,50,Aluminum,0.10011
500-600 ,15,45,Aluminum,0.10338
500-600 ,30,45,Aluminum,0.09857
500-600 ,45,45,Aluminum,0.0771
500-600 ,60,45,Aluminum,0.0782
500-600 ,75,45,Aluminum,0.07075
500-600 ,90,45,Aluminum,0.06725
500-600 ,15,40,Aluminum,0.09053
500-600 ,30,40,Aluminum,0.08803
500-600 ,45,40,Aluminum,0.07013
500-600 ,60,40,Aluminum,0.07291
500-600 ,75,40,Aluminum,0.07065
500-600 ,90,40,Aluminum,0.06919
500-600 ,15,35,Aluminum,0.08965
500-600 ,30,35,Aluminum,0.07915
500-600 ,45,35,Aluminum,0.06025
500-600 ,60,35,Aluminum,0.06303
500-600 ,75,35,Aluminum,0.06077
500-600 ,90,35,Aluminum,0.05931
500-600 ,15,30,Aluminum,0.07077
500-600 ,30,30,Aluminum,0.06825
500-600 ,45,30,Aluminum,0.0564
500-600 ,60,30,Aluminum,0.05665
500-600 ,75,30,Aluminum,0.05625
500-600 ,90,30,Aluminum,0.05552
500-600 ,15,50,MildSteel,0.10932
500-600 ,30,50,MildSteel,0.09832
500-600 ,45,50,MildSteel,0.07812
500-600 ,60,50,MildSteel,0.07963
500-600 ,75,50,MildSteel,0.07897
500-600 ,90,50,MildSteel,0.07727
500-600 ,15,45,MildSteel,0.09429
500-600 ,30,45,MildSteel,0.08329
500-600 ,45,45,MildSteel,0.06309
500-600 ,60,45,MildSteel,0.06567
500-600 ,75,45,MildSteel,0.06394
500-600 ,90,45,MildSteel,0.06224
500-600 ,15,40,MildSteel,0.07926
500-600 ,30,40,MildSteel,0.07148
500-600 ,45,40,MildSteel,0.05631
500-600 ,60,40,MildSteel,0.05698
500-600 ,75,40,MildSteel,0.05598
500-600 ,90,40,MildSteel,0.05563
