Year,Month,Station,AT,WT,SD,Salinity,TDS,Conductivity,DO,pH,Alkalinity,NO3-N,SRP,SRS,Chl-a,Phaeopigments,PD
2018,September,B1,26,28.6,26.2,0,0.056,226,9.8,7.7,4.6,1.694,11.58,3.274,5.92,2.4,2.5
2018,September,B2,26,28.4,27.2,0,0.066,396,8.6,7.9,4.4,2.805,6.33,3.138,7.104,2.88,1.33
2018,September,B3,26,28,28.3,0,0.052,232,8.4,7.9,4.4,0.3866,10.925,3.206,3.552,1.44,1.23
2018,September,R1,25,27,32.4,1,0.226,7.27,7.5,8.1,3.8,0.6173,21.418,3.274,8.288,2.528,0.504
2018,September,R2,25,27,30.5,1,0.102,3.24,6.2,8,3.9,0.5789,29.288,3.411,3.552,1.44,0.39
2018,September,R3,25,27,29.2,5,0.076,3.24,5.7,7.8,3.7,0.4731,17.483,3.752,3.552,0.608,5.4
2018,October,B1,26,27.4,16.4,5,3.38,298,7.1,7.9,2.7,0.7134,34.9459,7.3521,5.92,2.4,0.59
2018,October,B2,26,27.2,18.2,4,0.442,136,5.6,8.1,2.5,1.1519,49.7456,2.4299,4.74,1.92,0.78
2018,October,B3,26,27,19,0,0.196,114,6.3,8.1,2.8,0.2315,41.6731,2.8878,4.74,3.58,0.28
2018,October,R1,24,25.1,24.5,6,1.16,3.44,6,7.9,2.4,0.0419,51.0909,3.0023,3.55,8.098,27.8
2018,October,R2,24,25.3,25,6,0.96,1.88,5.4,8,1.9,0.5726,142.5793,2.7733,3.55,3.12,8.36
2018,October,R3,24,25.2,26,5,0.54,0.98,5.1,7.9,1.8,0.3506,41.6731,2.8878,3.55,8.098,3.39
2018,November,B1,25,26.2,40.1,3,5.58,1180,4.4,8.4,1.2,0.108,36.66,7.64,6.89,3.64,0.72
2018,November,B2,25,26.1,36,6,0.6,1306,2.6,8.6,0.7,0.222,18.234,1.128,3.687,2.56,0.96
2018,November,B3,25,26,35.5,3,0.127,340,4.1,8.6,1,0.173,26.131,2.478,4.89,4.56,0.32
2018,November,R1,24,25.2,25.1,5,2.21,4.44,4.5,8,1,0.059,19.55,2.478,4.987,6.23,2.5
2018,November,R2,24,24.8,27.3,3,1.52,2.68,4.5,8.1,0.9,0.625,77.464,2.595,5.876,4.89,8.7
2018,November,R3,24,24.7,26.6,7,0.77,1.67,4.5,8.3,0.8,0.108,20.866,2.712,3.88,6.32,3.5
2018,December,B1,24,25.2,45,0,2.148,1002,3.2,8.2,2.8,0.098,34.65,6.456,7.64,6.54,0.71
2018,December,B2,24,25,40,3,1.358,780,3.1,8,2.5,0.095,24.68,4.523,4.12,1.35,0.88
2018,December,B3,24,24.9,41,0,1.468,358,3,8,2.2,0.091,25.9,4.956,5.34,4.32,0.97
2018,December,R1,23.5,24.8,30,7,2,8.9,5.5,7.6,1.5,0.0321,24.8,5.621,6.52,6.85,5.74
2018,December,R2,23.5,24.6,32,2,1.32,9.8,5.8,7.4,1.2,0.048,64.2,5.896,7.56,5.31,9.8
