District,Gender,D4: To what extent do you think natural hazards can affect you and your family?
Bagerhat,Female,Extremely high
Bagerhat,Female,Medium
Bagerhat,Female,Extremely high
Bagerhat,Female,Extremely high
Bagerhat,Female,Medium
Bagerhat,Female,High
Khulna,Female,Extremely high
Khulna,Female,High
Patuakhali,Female,Less likely
Patuakhali,Female,High
Patuakhali,Female,Less likely
Patuakhali,Female,Extremely high
Patuakhali,Female,Medium
Bagerhat,Male,High
Bagerhat,Male,High
Bagerhat,Male,Extremely high
Patuakhali,Male,High
Patuakhali,Male,High
Patuakhali,Male,Extremely high
Bagerhat,Female,High
Bagerhat,Female,High
Bagerhat,Female,High
Khulna,Female,High
Khulna,Female,High
Patuakhali,Female,Less likely
Patuakhali,Female,High
Patuakhali,Female,Extremely high
Patuakhali,Female,High
Bagerhat,Male,Medium
Bagerhat,Male,High
Bagerhat,Male,High
Khulna,Male,Extremely high
Patuakhali,Male,High
Patuakhali,Male,Medium
Patuakhali,Male,Extremely high
Patuakhali,Male,Medium
Patuakhali,Male,Extremely high
Bagerhat,Female,Medium
Khulna,Female,Extremely high
Khulna,Female,Extremely high
Khulna,Female,Extremely high
Khulna,Female,Extremely high
Khulna,Female,Extremely high
Patuakhali,Female,High
Khulna,Male,Extremely high
Khulna,Male,High
Khulna,Male,Extremely high
Khulna,Male,Extremely high
Khulna,Male,Extremely high
Khulna,Male,Extremely high
Khulna,Male,Extremely high
Khulna,Male,High
Patuakhali,Male,Medium
Patuakhali,Male,Medium
Patuakhali,Male,Medium
Patuakhali,Male,High
Bagerhat,Female,Medium
Bagerhat,Female,High
Khulna,Female,Extremely high
Khulna,Female,Extremely high
Khulna,Female,Extremely high
Patuakhali,Female,Medium
Patuakhali,Female,Extremely high
Patuakhali,Female,High
Patuakhali,Female,Medium
Bagerhat,Male,Medium
Bagerhat,Male,Medium
Bagerhat,Male,High
Khulna,Male,Extremely high
Khulna,Male,Extremely high
Khulna,Male,Extremely high
Khulna,Male,Extremely high
Khulna,Male,High
Khulna,Male,Extremely high
Patuakhali,Male,High
Patuakhali,Male,High
Patuakhali,Male,Extremely high
Patuakhali,Male,Less likely
Patuakhali,Male,High
Patuakhali,Male,High
Bagerhat,Female,Extremely high
Bagerhat,Female,Medium
Bagerhat,Female,High
Khulna,Female,Extremely high
Patuakhali,Female,High
Patuakhali,Female,Less likely
Khulna,Male,Extremely high
Patuakhali,Male,High
Patuakhali,Male,Medium
Patuakhali,Male,High
Patuakhali,Male,High
Patuakhali,Female,High
Patuakhali,Female,High
Patuakhali,Female,Medium
Bagerhat,Male,Medium
Bagerhat,Male,Medium
Bagerhat,Male,Medium
Khulna,Female,Extremely high
Khulna,Female,Extremely high
Bagerhat,Female,Medium
Patuakhali,Female,High
Patuakhali,Male,High
Khulna,Female,Extremely high
Patuakhali,Female,Medium
Patuakhali,Male,Extremely high
Patuakhali,Female,High
Patuakhali,Female,Medium
Patuakhali,Female,High
Khulna,Male,High
Bagerhat,Female,High
Bagerhat,Male,Medium
Bagerhat,Male,Less likely
Patuakhali,Female,Less likely
Bagerhat,Male,Medium
Khulna,Male,Extremely high
Patuakhali,Male,Less likely
Bagerhat,Female,High
Khulna,Male,High
Bagerhat,Female,Extremely high
Patuakhali,Female,Less likely
Khulna,Female,Extremely high
Patuakhali,Female,High
Patuakhali,Female,Extremely high
Bagerhat,Male,High
Khulna,Male,Extremely high
Khulna,Male,Extremely high
Bagerhat,Female,Medium
Bagerhat,Female,Medium
Khulna,Female,Extremely high
Khulna,Female,Extremely high
Patuakhali,Female,Extremely high
Patuakhali,Female,Extremely high
Patuakhali,Female,High
Patuakhali,Female,Extremely high
Bagerhat,Male,High
Bagerhat,Male,High
Patuakhali,Male,Extremely high
Patuakhali,Male,Medium
Bagerhat,Female,High
Bagerhat,Female,Medium
Patuakhali,Female,High
Patuakhali,Female,Less likely
Patuakhali,Female,Extremely high
Patuakhali,Female,Medium
Patuakhali,Female,High
Bagerhat,Male,Medium
Bagerhat,Male,Extremely high
Khulna,Male,Extremely high
Khulna,Male,High
Patuakhali,Male,Medium
Patuakhali,Male,Less likely
Patuakhali,Male,High
Patuakhali,Male,Medium
Patuakhali,Male,Extremely high
Bagerhat,Female,Medium
Bagerhat,Male,Extremely high
Bagerhat,Male,High
Bagerhat,Male,Extremely high
Bagerhat,Male,Medium
Bagerhat,Male,Medium
Bagerhat,Male,Medium
Khulna,Male,Extremely high
Khulna,Male,High
Patuakhali,Male,Less likely
Patuakhali,Male,High
Patuakhali,Male,Medium
Bagerhat,Female,Medium
Khulna,Female,Extremely high
Patuakhali,Male,High
Patuakhali,Male,High
Bagerhat,Female,Medium
Bagerhat,Female,Extremely high
Khulna,Female,High
Khulna,Male,High
Patuakhali,Male,High
Khulna,Male,Extremely high
Patuakhali,Male,Extremely high
Bagerhat,Female,Medium
Khulna,Male,Extremely high
Khulna,Male,Medium
Bagerhat,Male,High
Patuakhali,Male,High
Patuakhali,Female,Medium
Bagerhat,Male,High
Patuakhali,Male,High
Bagerhat,Female,Medium
Patuakhali,Female,High
Patuakhali,Female,High
Bagerhat,Male,Medium
Khulna,Male,Extremely high
Patuakhali,Male,Extremely high
Patuakhali,Male,High
Bagerhat,Female,High
Patuakhali,Female,Extremely high
Patuakhali,Female,High
Patuakhali,Female,High
Patuakhali,Male,High
Patuakhali,Male,Extremely high
Patuakhali,Male,Extremely high
Patuakhali,Female,High
Patuakhali,Male,High
Patuakhali,Female,High
Khulna,Female,Extremely high
Khulna,Male,Extremely high
Patuakhali,Female,Extremely high
Bagerhat,Female,Extremely high
Khulna,Female,Extremely high
Khulna,Female,Extremely high
Patuakhali,Female,High
Patuakhali,Female,Medium
Patuakhali,Female,Extremely high
Patuakhali,Female,High
Patuakhali,Female,High
Patuakhali,Female,Extremely high
Patuakhali,Female,Less likely
Bagerhat,Female,Extremely high
Bagerhat,Female,High
Bagerhat,Female,High
Bagerhat,Female,Medium
Bagerhat,Female,Extremely high
Bagerhat,Female,Medium
Bagerhat,Female,High
Khulna,Female,Extremely high
Khulna,Female,Extremely high
Khulna,Female,High
Khulna,Female,High
Khulna,Female,Extremely high
Khulna,Female,Extremely high
Patuakhali,Female,High
