District,Gender,D9:WarningDaysBefore
Bagerhat,Female,Several days before
Bagerhat,Female,One day before
Bagerhat,Female,One day before
Bagerhat,Female,One day before
Bagerhat,Female,Several days before
Bagerhat,Female,Several days before
Khulna,Female,Few hours before
Khulna,Female,Several days before
Patuakhali,Female,Few hours before
Patuakhali,Female,Few hours before
Patuakhali,Female,Few hours before
Patuakhali,Female,One day before
Patuakhali,Female,One day before
Bagerhat,Male,One day before
Bagerhat,Male,Several days before
Bagerhat,Male,Several days before
Patuakhali,Male,One day before
Patuakhali,Male,Several days before
Patuakhali,Male,Several days before
Bagerhat,Female,One day before
Bagerhat,Female,One day before
Bagerhat,Female,One day before
Khulna,Female,One day before
Khulna,Female,One day before
Patuakhali,Female,Few hours before
Patuakhali,Female,One day before
Patuakhali,Female,Several days before
Patuakhali,Female,Several days before
Bagerhat,Male,One day before
Bagerhat,Male,Several days before
Bagerhat,Male,Several days before
Khulna,Male,Few hours before
Patuakhali,Male,One day before
Patuakhali,Male,One day before
Patuakhali,Male,One day before
Patuakhali,Male,One day before
Patuakhali,Male,Several days before
Bagerhat,Female,Several days before
Khulna,Female,One day before
Khulna,Female,One day before
Khulna,Female,One day before
Khulna,Female,One day before
Khulna,Female,One day before
Patuakhali,Female,Several days before
Khulna,Male,Few hours before
Khulna,Male,Few hours before
Khulna,Male,One day before
Khulna,Male,One day before
Khulna,Male,One day before
Khulna,Male,Several days before
Khulna,Male,Several days before
Khulna,Male,Several days before
Patuakhali,Male,Few hours before
Patuakhali,Male,One day before
Patuakhali,Male,One day before
Patuakhali,Male,Several days before
Bagerhat,Female,Several days before
Bagerhat,Female,Several days before
Khulna,Female,One day before
Khulna,Female,One day before
Khulna,Female,One day before
Patuakhali,Female,Few hours before
Patuakhali,Female,One day before
Patuakhali,Female,One day before
Patuakhali,Female,Several days before
Bagerhat,Male,Several days before
Bagerhat,Male,Several days before
Bagerhat,Male,Several days before
Khulna,Male,Few hours before
Khulna,Male,Few hours before
Khulna,Male,One day before
Khulna,Male,One day before
Khulna,Male,Several days before
