District,Gender,How to protect myself from COVID-19?,The symptoms of COVID-19,How COVID-19 is spread,What to do if I have the symptoms of COVID-19,Risks and complications of COVID-19,COVID-19 vaccine is not harmful for health,Location and authority of COVID-19 vaccination,Nothing,Don't know,Other (Specify)
Bagerhat,Female,0,1,1,1,0,0,0,0,0,0
Bagerhat,Female,1,1,1,0,0,0,0,0,0,0
Bagerhat,Female,1,1,1,0,0,0,0,0,0,0
Bagerhat,Female,1,1,1,0,0,0,0,0,0,0
Bagerhat,Female,1,1,1,0,0,0,0,0,0,0
Bagerhat,Female,1,1,1,0,0,0,0,0,0,0
Khulna,Female,1,1,1,0,0,0,0,0,0,0
Khulna,Female,1,1,1,1,0,0,0,0,0,0
Patuakhali,Female,1,1,1,0,0,0,0,0,0,0
Patuakhali,Female,1,1,1,0,0,0,0,0,0,0
Patuakhali,Female,1,1,0,0,0,0,0,0,0,
Patuakhali,Female,1,1,0,0,0,0,0,0,0,
Patuakhali,Female,1,1,0,0,0,0,0,0,0,0
Bagerhat,Male,1,1,0,0,0,0,0,0,0,0
Bagerhat,Male,1,1,0,0,0,0,0,0,0,0
Bagerhat,Male,1,1,0,0,0,0,0,0,0,0
Patuakhali,Male,1,0,0,0,0,0,0,0,0,0
Patuakhali,Male,1,1,1,0,0,0,0,0,0,0
Patuakhali,Male,1,1,0,0,0,0,0,0,0,0
Bagerhat,Female,1,1,0,0,0,0,0,0,0,0
Bagerhat,Female,1,1,0,0,0,0,0,0,0,0
Bagerhat,Female,1,1,0,0,0,0,0,0,0,0
Khulna,Female,1,1,0,0,0,0,0,0,0,0
Khulna,Female,1,0,0,0,0,1,0,0,0,0
Patuakhali,Female,1,0,0,0,0,0,0,0,0,0
Patuakhali,Female,1,0,1,0,0,0,0,0,0,0
Patuakhali,Female,1,1,0,1,0,0,0,0,0,0
Patuakhali,Female,1,1,0,0,0,0,0,0,0,0
Bagerhat,Male,1,1,0,1,0,0,0,0,0,0
Bagerhat,Male,0,1,0,1,1,0,0,0,0,0
Bagerhat,Male,1,1,0,0,0,0,0,0,0,0
Khulna,Male,1,1,0,0,0,0,0,0,0,0
Patuakhali,Male,1,1,0,0,0,0,0,0,0,0
Patuakhali,Male,1,0,1,0,0,0,0,0,0,0
Patuakhali,Male,1,0,1,1,0,0,0,0,0,0
Patuakhali,Male,0,1,0,0,0,0,0,0,0,0
Patuakhali,Male,0,1,1,0,0,0,0,0,0,0
Bagerhat,Female,0,0,0,0,0,0,0,1,0,0
Khulna,Female,1,0,1,0,0,0,0,0,0,0
Khulna,Female,1,0,1,0,0,0,0,0,0,0
Khulna,Female,1,0,1,0,0,0,0,0,0,0
Khulna,Female,1,1,1,0,0,0,0,0,0,0
Khulna,Female,0,0,1,0,0,0,0,0,0,
Patuakhali,Female,0,0,1,0,0,0,0,0,0,
Khulna,Male,0,0,1,0,0,0,0,0,0,
Khulna,Male,0,0,0,0,0,0,0,1,0,
Khulna,Male,0,0,1,0,0,0,0,0,0,
Khulna,Male,0,0,0,0,0,0,0,1,1,
Khulna,Male,0,0,0,0,0,0,0,1,1,
Khulna,Male,0,0,0,0,0,0,0,0,1,
Khulna,Male,0,0,0,0,0,0,0,0,1,
Khulna,Male,0,0,1,0,0,0,0,0,0,
Patuakhali,Male,1,0,0,0,0,0,0,0,0,0
Patuakhali,Male,1,1,0,0,0,0,0,0,0,0
Patuakhali,Male,1,1,0,0,0,0,0,0,0,0
Patuakhali,Male,0,1,0,0,0,0,0,0,0,0
Bagerhat,Female,1,1,0,0,0,0,0,0,0,0
Bagerhat,Female,1,1,1,0,0,0,0,0,0,1
Khulna,Female,1,1,0,0,1,0,0,0,0,0
Khulna,Female,1,1,0,0,0,0,0,0,0,0
Khulna,Female,1,1,1,0,0,0,0,0,0,0
Patuakhali,Female,1,1,0,0,0,0,0,0,0,0
Patuakhali,Female,0,1,0,0,0,0,0,0,0,0
Patuakhali,Female,0,0,0,0,0,0,0,0,1,0
Patuakhali,Female,0,0,0,0,0,0,0,0,1,0
Bagerhat,Male,0,0,0,0,0,0,0,0,1,0
Bagerhat,Male,0,0,0,0,0,0,0,0,1,0
Bagerhat,Male,1,1,1,0,0,0,0,0,0,0
Khulna,Male,1,1,0,0,0,0,0,0,0,0
Khulna,Male,1,1,0,0,0,0,0,0,0,0
Khulna,Male,0,0,0,0,0,0,0,0,1,0
Khulna,Male,0,0,0,0,0,0,0,0,1,0
Khulna,Male,0,0,0,0,0,0,0,0,1,0
Khulna,Male,1,1,1,0,0,0,0,0,0,0
Patuakhali,Male,0,0,0,0,0,0,0,0,1,0
