District,Gender,Inhaling droplets from infected person,Inhaling airborne droplet/particles,Having close contact with and infected person,Respondent reporting incorrect answer,Other (Please specify),Touching contaminated surface or object,Don't know
Bagerhat,Female,1,1,0,0,0,0,0
Bagerhat,Female,1,1,1,0,0,0,0
Bagerhat,Female,1,1,0,0,0,0,0
Bagerhat,Female,1,1,0,0,0,0,0
Bagerhat,Female,1,0,0,0,0,0,0
Bagerhat,Female,1,1,0,0,0,0,0
Khulna,Female,1,1,1,0,0,0,0
Khulna,Female,1,1,1,0,0,0,0
Patuakhali,Female,1,1,0,0,0,0,0
Patuakhali,Female,1,1,1,0,0,0,0
Patuakhali,Female,1,1,0,0,,0,0
Patuakhali,Female,1,1,0,0,,0,0
Patuakhali,Female,1,1,0,0,0,0,0
Bagerhat,Male,1,1,0,0,0,0,0
Bagerhat,Male,1,1,0,0,0,0,0
Bagerhat,Male,1,1,1,0,0,0,0
Patuakhali,Male,0,0,0,0,0,0,1
Patuakhali,Male,1,1,1,0,0,0,0
Patuakhali,Male,1,1,1,0,0,0,0
Bagerhat,Female,1,1,0,0,0,0,0
Bagerhat,Female,1,1,0,0,0,0,0
Bagerhat,Female,1,0,1,0,0,0,0
Khulna,Female,1,1,0,0,0,0,0
Khulna,Female,1,1,1,0,0,0,0
Patuakhali,Female,1,1,0,0,0,0,0
Patuakhali,Female,1,1,0,0,0,0,0
Patuakhali,Female,1,1,1,1,0,0,0
Patuakhali,Female,1,1,1,0,0,0,0
Bagerhat,Male,1,1,0,0,0,0,0
Bagerhat,Male,1,1,0,1,0,0,0
Bagerhat,Male,1,1,1,0,0,0,0
Khulna,Male,1,1,0,0,0,0,0
Patuakhali,Male,1,1,1,0,0,0,0
Patuakhali,Male,1,1,1,0,0,0,0
Patuakhali,Male,1,0,1,0,0,0,0
Patuakhali,Male,1,0,1,0,0,0,0
Patuakhali,Male,1,1,1,0,0,0,0
Bagerhat,Female,0,0,0,0,0,0,1
Khulna,Female,1,0,1,0,0,0,0
Khulna,Female,0,0,1,0,0,0,0
Khulna,Female,1,0,1,0,0,0,0
Khulna,Female,1,0,1,0,0,0,0
Khulna,Female,1,0,1,0,,0,0
Patuakhali,Female,1,0,1,0,,0,0
Khulna,Male,1,0,1,0,,0,0
Khulna,Male,0,0,0,0,,0,1
Khulna,Male,1,0,1,0,,0,0
Khulna,Male,0,0,0,0,,0,1
Khulna,Male,0,0,0,0,,0,1
Khulna,Male,0,0,0,0,,0,1
Khulna,Male,0,0,0,0,,0,1
Khulna,Male,1,0,1,0,,0,0
Patuakhali,Male,0,0,1,0,0,0,0
Patuakhali,Male,1,0,1,0,0,0,0
Patuakhali,Male,1,0,1,0,0,0,0
Patuakhali,Male,1,0,1,0,0,0,0
Bagerhat,Female,1,1,1,0,0,0,0
Bagerhat,Female,1,0,0,0,1,0,0
Khulna,Female,1,1,0,0,1,0,0
Khulna,Female,0,0,1,0,1,0,0
Khulna,Female,1,1,1,0,0,0,0
Patuakhali,Female,0,0,0,0,0,0,1
Patuakhali,Female,1,1,0,0,0,0,0
Patuakhali,Female,0,0,0,0,0,0,1
Patuakhali,Female,0,0,0,0,0,0,1
Bagerhat,Male,0,0,0,0,0,0,1
Bagerhat,Male,0,0,0,0,0,0,1
Bagerhat,Male,0,1,1,0,0,1,0
Khulna,Male,1,1,0,1,0,0,0
Khulna,Male,1,0,1,0,0,0,0
Khulna,Male,0,0,0,0,0,0,1
Khulna,Male,0,0,0,0,0,0,1
Khulna,Male,0,0,0,0,0,0,1
Khulna,Male,1,1,0,0,0,0,0
Patuakhali,Male,0,0,0,0,0,0,1
Patuakhali,Male,1,1,1,0,0,0,0
Patuakhali,Male,0,0,0,0,0,0,1
Patuakhali,Male,0,0,0,0,0,0,1
Patuakhali,Male,1,0,1,0,0,0,0
Patuakhali,Male,1,0,1,0,0,0,0
