Age,Gender,Constructed,Floor,People,Whois,sixty,disability
30,Female,Wooden House (1 story) ,Earth,5,Over 60 years old Under 5 years old,1,0
32,Female,Wooden House (1 story) ,Earth,4,"No, there is not a family member in any of these groups",0,0
40,Female,Wooden House (1 story) ,Earth,5,"No, there is not a family member in any of these groups",0,0
28,Male,Wooden House (1 story) ,Earth,3,Under 5 years old,0,0
58,Female,Wooden House (1 story) ,Earth,5,Over 60 years old Under 5 years old,1,0
41,Female,Wooden House (1 story) ,Earth,4,"No, there is not a family member in any of these groups",0,0
27,Female,Wooden House (1 story) ,Earth,12,Over 60 years old Under 5 years old,1,0
37,Female,Wooden House (1 story) ,Earth,3,"No, there is not a family member in any of these groups",0,0
51,Female,Wooden House (1 story) ,Concrete,5,"No, there is not a family member in any of these groups",0,0
41,Male,Wooden House (1 story) ,Earth,5,Under 5 years old,0,0
50,Female,Wooden House (2 story) ,Earth,6,Over 60 years old Under 5 years old,1,0
27,Male,Tin,Earth,5,Under 5 years old Person with disability,0,1
40,Male,Tin,Earth,8,Under 5 years old,0,0
25,Female,Tin,Earth,5,Under 5 years old,0,0
46,Male,Tin,Earth,6,"No, there is not a family member in any of these groups",0,0
45,Female,Tin,Earth,3,Over 60 years old,1,0
65,Male,Tin,Earth,4,Over 60 years old Person with disability,1,1
19,Male,Tin,Earth,6,Under 5 years old Person with disability,0,1
42,Male,Tin,Earth,3,"No, there is not a family member in any of these groups",0,0
36,Female,Tin,Earth,7,Under 5 years old,0,0
16,Female,Tin,Earth,4,Under 5 years old,0,0
27,Female,"Bamboo Hut (Bamboo pole, bamboo mat and thatch roof)",Earth,4,Under 5 years old,0,0
32,Male,"Wooden Bamboo Hut (Timber pole and floor, bamboo mat and thatch roof)",Earth,5,Under 5 years old Person with disability,0,1
41,Male,"Wooden Bamboo Hut (Timber pole and floor, bamboo mat and thatch roof)",Earth,4,"No, there is not a family member in any of these groups",0,0
50,Female,"Wooden Bamboo Hut (Timber pole and floor, bamboo mat and thatch roof)",Earth,5,"No, there is not a family member in any of these groups",0,0
35,Male,"Wooden Bamboo Hut (Timber pole and floor, bamboo mat and thatch roof)",Earth,4,"No, there is not a family member in any of these groups",0,0
40,Female,"Wooden Bamboo Hut (Timber pole and floor, bamboo mat and thatch roof)",Earth,3,"No, there is not a family member in any of these groups",0,0
55,Male,"Bamboo Hut (Bamboo pole, bamboo mat and thatch roof)",Earth,6,,,
32,Female,"Wooden Bamboo Hut (Timber pole and floor, bamboo mat and thatch roof)",Earth,4,Under 5 years old,0,0
55,Male,"Wooden Bamboo Hut (Timber pole and floor, bamboo mat and thatch roof)",Earth,4,Over 60 years old,1,0
84,Male,"Wooden Bamboo Hut (Timber pole and floor, bamboo mat and thatch roof)",Earth,7,Over 60 years old Under 5 years old Mother with new borne baby,1,0
45,Female,"Wooden Bamboo Hut (Timber pole and floor, bamboo mat and thatch roof)",Earth,7,"No, there is not a family member in any of these groups",0,0
