Living near the sea,Living near river,Living in low areas,People living on embankment,People living near forest,People living near coast,District,Gender
0,1,0,0,0,0,Bagerhat,Female
0,1,0,0,0,0,Bagerhat,Female
0,1,0,1,0,1,Bagerhat,Female
0,1,0,1,0,1,Bagerhat,Female
0,1,1,1,0,0,Bagerhat,Female
0,1,0,1,0,1,Bagerhat,Female
0,0,1,1,0,0,Khulna,Female
0,1,1,0,0,0,Khulna,Female
0,1,0,1,0,1,Patuakhali,Female
1,1,1,0,0,1,Patuakhali,Female
1,1,1,0,0,1,Patuakhali,Female
0,1,1,0,0,1,Patuakhali,Female
1,0,0,0,0,1,Patuakhali,Female
0,1,0,0,0,1,Bagerhat,Male
0,1,0,1,0,1,Bagerhat,Male
0,1,1,0,1,1,Bagerhat,Male
1,1,1,1,0,1,Patuakhali,Male
1,1,1,1,0,1,Patuakhali,Male
,,,,,,Patuakhali,Male
0,1,1,0,0,1,Bagerhat,Female
0,1,1,0,0,1,Bagerhat,Female
0,1,1,1,0,1,Bagerhat,Female
0,0,1,0,0,0,Khulna,Female
0,1,0,0,0,0,Khulna,Female
0,1,0,1,0,1,Patuakhali,Female
1,1,1,1,0,1,Patuakhali,Female
1,1,1,1,0,1,Patuakhali,Female
1,1,1,1,0,1,Patuakhali,Female
0,1,1,1,0,0,Bagerhat,Male
1,0,1,0,0,1,Bagerhat,Male
0,1,0,1,0,1,Bagerhat,Male
0,0,1,1,0,0,Khulna,Male
1,1,1,1,0,1,Patuakhali,Male
1,0,0,0,0,1,Patuakhali,Male
1,0,0,1,1,1,Patuakhali,Male
,,,,,,Patuakhali,Male
1,1,1,1,0,1,Patuakhali,Male
0,1,1,1,0,0,Bagerhat,Female
0,0,1,0,0,0,Khulna,Female
0,0,1,0,0,0,Khulna,Female
0,0,1,0,0,0,Khulna,Female
0,1,1,0,0,0,Khulna,Female
0,0,1,1,0,0,Khulna,Female
1,1,1,0,0,0,Patuakhali,Female
0,0,1,1,0,0,Khulna,Male
0,1,1,0,0,0,Khulna,Male
0,0,1,0,0,0,Khulna,Male
0,1,1,0,0,0,Khulna,Male
0,1,1,0,0,0,Khulna,Male
0,1,1,1,0,0,Khulna,Male
1,1,1,1,0,0,Khulna,Male
0,1,0,1,0,0,Khulna,Male
1,1,1,0,0,1,Patuakhali,Male
0,1,0,0,0,0,Patuakhali,Male
1,1,0,1,0,1,Patuakhali,Male
,,,,,,Patuakhali,Male
0,1,1,0,0,0,Bagerhat,Female
0,1,0,1,0,0,Bagerhat,Female
0,1,1,0,0,0,Khulna,Female
0,1,0,0,0,0,Khulna,Female
0,1,1,1,0,0,Khulna,Female
1,1,0,1,0,1,Patuakhali,Female
0,1,1,0,0,1,Patuakhali,Female
0,1,1,1,0,1,Patuakhali,Female
1,1,0,1,0,1,Patuakhali,Female
0,1,1,0,0,0,Bagerhat,Male
0,1,0,1,0,0,Bagerhat,Male
1,0,0,0,0,0,Bagerhat,Male
0,1,1,0,0,0,Khulna,Male
0,1,0,1,0,0,Khulna,Male
0,0,1,0,0,0,Khulna,Male
0,0,1,1,0,0,Khulna,Male
0,1,0,0,0,0,Khulna,Male
1,1,1,1,0,0,Khulna,Male
0,1,0,1,0,1,Patuakhali,Male
0,1,1,0,0,0,Patuakhali,Male
1,1,1,0,0,0,Patuakhali,Male
1,1,0,1,0,1,Patuakhali,Male
1,1,0,1,0,1,Patuakhali,Male
,,,,,,Patuakhali,Male
0,1,0,0,0,0,Bagerhat,Female
